date,city,cases,country
2020-10-28,Winnipeg,186,Canada
2020-10-29,Winnipeg,227,Canada
2020-10-30,Winnipeg,151,Canada
2020-10-31,Winnipeg,294,Canada
2020-11-01,Winnipeg,56,Canada
2020-11-02,Winnipeg,133,Canada
2020-11-03,Winnipeg,200,Canada
2020-11-04,Winnipeg,278,Canada
2020-11-05,Winnipeg,125,Canada
2020-11-06,Winnipeg,183,Canada
2020-11-07,Winnipeg,328,Canada
2020-11-08,Winnipeg,222,Canada
2020-11-09,Winnipeg,182,Canada
2020-11-10,Winnipeg,314,Canada
2020-11-11,Winnipeg,281,Canada
2020-11-12,Winnipeg,248,Canada
2020-11-13,Winnipeg,251,Canada
2020-11-14,Winnipeg,219,Canada
2020-11-15,Winnipeg,217,Canada
2020-11-16,Winnipeg,139,Canada
2020-11-17,Winnipeg,249,Canada
2020-11-18,Winnipeg,259,Canada
2020-11-19,Winnipeg,234,Canada
2020-11-20,Winnipeg,199,Canada
2020-11-21,Winnipeg,151,Canada
2020-11-22,Winnipeg,415,Canada
2020-11-23,Winnipeg,217,Canada
2020-11-24,Winnipeg,215,Canada
2020-11-25,Winnipeg,203,Canada
2020-11-26,Winnipeg,197,Canada
2020-11-27,Winnipeg,314,Canada
2020-11-28,Winnipeg,223,Canada
2020-11-29,Winnipeg,220,Canada
2020-11-30,Winnipeg,157,Canada
2020-12-01,Winnipeg,222,Canada
2020-12-02,Winnipeg,217,Canada
2020-12-03,Winnipeg,207,Canada
2020-12-04,Winnipeg,250,Canada
2020-12-05,Winnipeg,261,Canada
2020-12-06,Winnipeg,178,Canada
2020-12-07,Winnipeg,141,Canada
2020-12-08,Winnipeg,177,Canada
2020-12-09,Winnipeg,169,Canada
2020-12-10,Winnipeg,193,Canada
2020-12-11,Winnipeg,225,Canada
2020-12-12,Winnipeg,157,Canada
2020-12-13,Winnipeg,167,Canada
2020-12-14,Winnipeg,113,Canada
2020-12-15,Winnipeg,160,Canada
2020-12-16,Winnipeg,112,Canada
2020-12-17,Winnipeg,135,Canada
2020-12-18,Winnipeg,107,Canada
2020-12-19,Winnipeg,129,Canada
2020-12-20,Winnipeg,88,Canada
2020-12-21,Winnipeg,91,Canada
2020-12-22,Winnipeg,120,Canada
2020-12-23,Winnipeg,116,Canada
2020-12-24,Winnipeg,103,Canada
2020-12-25,Winnipeg,84,Canada
2020-12-26,Winnipeg,53,Canada
2020-12-27,Winnipeg,51,Canada
2020-12-28,Winnipeg,88,Canada
2020-12-29,Winnipeg,89,Canada
2020-12-30,Winnipeg,93,Canada
2020-12-31,Winnipeg,100,Canada
2021-01-01,Winnipeg,115,Canada
2021-01-02,Winnipeg,58,Canada
2021-01-03,Winnipeg,86,Canada
2021-01-04,Winnipeg,73,Canada
2021-01-05,Winnipeg,103,Canada
2021-01-06,Winnipeg,94,Canada
2021-01-07,Winnipeg,100,Canada
2021-01-08,Winnipeg,88,Canada
2021-01-09,Winnipeg,66,Canada
2021-01-10,Winnipeg,50,Canada
2021-01-11,Winnipeg,56,Canada
2021-01-12,Winnipeg,53,Canada
2021-01-13,Winnipeg,76,Canada
2021-01-14,Winnipeg,64,Canada
2021-01-15,Winnipeg,78,Canada
2021-01-16,Winnipeg,64,Canada
2021-01-17,Winnipeg,50,Canada
2021-01-18,Winnipeg,50,Canada
2021-01-19,Winnipeg,50,Canada
2021-01-20,Winnipeg,52,Canada
2021-01-21,Winnipeg,63,Canada
2021-01-22,Winnipeg,47,Canada
2021-01-23,Winnipeg,57,Canada
2021-01-24,Winnipeg,40,Canada
