date,cases,city,country
2021-04-17,128,Bern,Switzerland
2021-04-18,91,Bern,Switzerland
2021-04-19,214,Bern,Switzerland
2021-04-20,195,Bern,Switzerland
2021-04-21,203,Bern,Switzerland
2021-04-22,224,Bern,Switzerland
2021-04-23,167,Bern,Switzerland
2021-04-24,133,Bern,Switzerland
2021-04-25,103,Bern,Switzerland
2021-04-26,246,Bern,Switzerland
2021-04-27,204,Bern,Switzerland
2021-04-28,185,Bern,Switzerland
2021-04-29,144,Bern,Switzerland
2021-04-30,129,Bern,Switzerland
2021-05-01,104,Bern,Switzerland
2021-05-02,69,Bern,Switzerland
2021-05-03,217,Bern,Switzerland
2021-05-04,169,Bern,Switzerland
2021-05-05,191,Bern,Switzerland
2021-05-06,172,Bern,Switzerland
2021-05-07,129,Bern,Switzerland
2021-05-08,117,Bern,Switzerland
2021-05-09,48,Bern,Switzerland
2021-05-10,162,Bern,Switzerland
2021-05-11,152,Bern,Switzerland
2021-05-12,175,Bern,Switzerland
2021-05-13,60,Bern,Switzerland
2021-05-14,134,Bern,Switzerland
2021-05-15,88,Bern,Switzerland
2021-05-16,59,Bern,Switzerland
2021-05-17,213,Bern,Switzerland
2021-05-18,154,Bern,Switzerland
2021-05-19,134,Bern,Switzerland
2021-05-20,120,Bern,Switzerland
2021-05-21,91,Bern,Switzerland
2021-05-22,75,Bern,Switzerland
2021-05-23,47,Bern,Switzerland
2021-05-24,63,Bern,Switzerland
2021-05-25,126,Bern,Switzerland
2021-05-26,95,Bern,Switzerland
2021-05-27,98,Bern,Switzerland
2021-05-28,76,Bern,Switzerland
2021-05-29,51,Bern,Switzerland
2021-05-30,29,Bern,Switzerland
2021-05-31,85,Bern,Switzerland
2021-06-01,44,Bern,Switzerland
2021-06-02,42,Bern,Switzerland
2021-06-03,42,Bern,Switzerland
2021-06-04,36,Bern,Switzerland
2021-06-05,22,Bern,Switzerland
2021-06-06,15,Bern,Switzerland
2021-06-07,57,Bern,Switzerland
2021-06-08,38,Bern,Switzerland
2021-06-09,35,Bern,Switzerland
2021-06-10,40,Bern,Switzerland
2021-06-11,38,Bern,Switzerland
2021-06-12,14,Bern,Switzerland
2021-06-13,2,Bern,Switzerland
2021-06-14,24,Bern,Switzerland
2021-06-15,13,Bern,Switzerland
2021-06-16,14,Bern,Switzerland
2021-06-17,11,Bern,Switzerland
2021-06-18,12,Bern,Switzerland
2021-06-19,4,Bern,Switzerland
2021-06-20,8,Bern,Switzerland
2021-06-21,13,Bern,Switzerland
2021-06-22,7,Bern,Switzerland
2021-06-23,10,Bern,Switzerland
2021-06-24,15,Bern,Switzerland
2021-06-25,14,Bern,Switzerland
2021-06-26,8,Bern,Switzerland
2021-06-27,3,Bern,Switzerland
2021-06-28,16,Bern,Switzerland
2021-06-29,9,Bern,Switzerland
2021-06-30,8,Bern,Switzerland
2021-07-01,11,Bern,Switzerland
2021-07-02,13,Bern,Switzerland
2021-07-03,4,Bern,Switzerland
2021-07-04,5,Bern,Switzerland
2021-07-05,22,Bern,Switzerland
2021-07-06,21,Bern,Switzerland
2021-07-07,21,Bern,Switzerland
2021-07-08,21,Bern,Switzerland
2021-07-09,18,Bern,Switzerland
2021-07-10,15,Bern,Switzerland
2021-07-11,22,Bern,Switzerland
2021-07-12,46,Bern,Switzerland
2021-07-13,47,Bern,Switzerland
2021-07-14,44,Bern,Switzerland
2021-07-15,45,Bern,Switzerland
2021-07-16,46,Bern,Switzerland
2021-07-17,21,Bern,Switzerland
2021-07-18,23,Bern,Switzerland
2021-07-19,55,Bern,Switzerland
2021-07-20,44,Bern,Switzerland
2021-07-21,53,Bern,Switzerland
2021-07-22,42,Bern,Switzerland
2021-07-23,39,Bern,Switzerland
2021-07-24,45,Bern,Switzerland
2021-07-25,40,Bern,Switzerland
2021-07-26,73,Bern,Switzerland
2021-07-27,45,Bern,Switzerland
2021-07-28,62,Bern,Switzerland
2021-07-29,67,Bern,Switzerland
2021-07-30,73,Bern,Switzerland
2021-07-31,55,Bern,Switzerland
2021-08-01,49,Bern,Switzerland
2021-08-02,118,Bern,Switzerland
2021-08-03,108,Bern,Switzerland
2021-08-04,116,Bern,Switzerland
2021-08-05,157,Bern,Switzerland
2021-08-06,129,Bern,Switzerland
2021-08-07,113,Bern,Switzerland
2021-08-08,108,Bern,Switzerland
2021-08-09,314,Bern,Switzerland
2021-08-10,247,Bern,Switzerland
2021-08-11,244,Bern,Switzerland
2021-08-12,249,Bern,Switzerland
2021-08-13,244,Bern,Switzerland
2021-08-14,178,Bern,Switzerland
2021-08-15,153,Bern,Switzerland
2021-08-16,393,Bern,Switzerland
2021-08-17,303,Bern,Switzerland
2021-08-18,279,Bern,Switzerland
2021-08-19,253,Bern,Switzerland
2021-08-20,232,Bern,Switzerland
2021-08-21,176,Bern,Switzerland
2021-08-22,171,Bern,Switzerland
2021-08-23,425,Bern,Switzerland
2021-08-24,330,Bern,Switzerland
2021-08-25,342,Bern,Switzerland
2021-08-26,276,Bern,Switzerland
2021-08-27,297,Bern,Switzerland
2021-08-28,188,Bern,Switzerland
2021-08-29,134,Bern,Switzerland
2021-08-30,405,Bern,Switzerland
2021-08-31,337,Bern,Switzerland
2021-09-01,302,Bern,Switzerland
2021-09-02,305,Bern,Switzerland
2021-09-03,349,Bern,Switzerland
2021-09-04,180,Bern,Switzerland
2021-09-05,133,Bern,Switzerland
2021-09-06,368,Bern,Switzerland
2021-09-07,309,Bern,Switzerland
2021-09-08,298,Bern,Switzerland
2021-09-09,278,Bern,Switzerland
2021-09-10,261,Bern,Switzerland
2021-09-11,183,Bern,Switzerland
2021-09-12,123,Bern,Switzerland
2021-09-13,292,Bern,Switzerland
2021-09-14,271,Bern,Switzerland
2021-09-15,257,Bern,Switzerland
2021-09-16,200,Bern,Switzerland
2021-09-17,178,Bern,Switzerland
2021-09-18,113,Bern,Switzerland
2021-09-19,80,Bern,Switzerland
2021-09-20,197,Bern,Switzerland
2021-09-21,188,Bern,Switzerland
2021-09-22,167,Bern,Switzerland
2021-09-23,131,Bern,Switzerland
2021-09-24,127,Bern,Switzerland
2021-09-25,116,Bern,Switzerland
2021-09-26,92,Bern,Switzerland
2021-09-27,170,Bern,Switzerland
2021-09-28,130,Bern,Switzerland
2021-09-29,129,Bern,Switzerland
2021-09-30,120,Bern,Switzerland
2021-10-01,102,Bern,Switzerland
2021-10-02,97,Bern,Switzerland
2021-10-03,50,Bern,Switzerland
2021-10-04,138,Bern,Switzerland
2021-10-05,96,Bern,Switzerland
2021-10-06,97,Bern,Switzerland
2021-10-07,72,Bern,Switzerland
2021-10-08,77,Bern,Switzerland
2021-10-09,56,Bern,Switzerland
2021-10-10,47,Bern,Switzerland
2021-10-11,80,Bern,Switzerland
2021-10-12,85,Bern,Switzerland
2021-10-13,89,Bern,Switzerland
2021-10-14,87,Bern,Switzerland
2021-10-15,86,Bern,Switzerland
2021-10-16,74,Bern,Switzerland
2021-10-17,60,Bern,Switzerland
2021-10-18,150,Bern,Switzerland
2021-10-19,129,Bern,Switzerland
2021-10-20,141,Bern,Switzerland
2021-10-21,124,Bern,Switzerland
2021-10-22,119,Bern,Switzerland
2021-10-23,108,Bern,Switzerland
2021-10-24,71,Bern,Switzerland
2021-10-25,204,Bern,Switzerland
2021-10-26,170,Bern,Switzerland
2021-10-27,206,Bern,Switzerland
2021-10-28,181,Bern,Switzerland
2021-10-29,227,Bern,Switzerland
2021-10-30,168,Bern,Switzerland
2021-10-31,132,Bern,Switzerland
2021-11-01,361,Bern,Switzerland
2021-11-02,361,Bern,Switzerland
2021-11-03,390,Bern,Switzerland
2021-11-04,312,Bern,Switzerland
2021-11-05,387,Bern,Switzerland
2021-11-06,261,Bern,Switzerland
2021-11-07,210,Bern,Switzerland
2021-11-08,559,Bern,Switzerland
2021-11-09,510,Bern,Switzerland
2021-11-10,552,Bern,Switzerland
2021-11-11,511,Bern,Switzerland
2021-11-12,569,Bern,Switzerland
2021-11-13,341,Bern,Switzerland
2021-11-14,310,Bern,Switzerland
2021-11-15,870,Bern,Switzerland
2021-11-16,695,Bern,Switzerland
2021-11-17,787,Bern,Switzerland
2021-11-18,796,Bern,Switzerland
2021-11-19,766,Bern,Switzerland
2021-11-20,520,Bern,Switzerland
2021-11-21,440,Bern,Switzerland
2021-11-22,1201,Bern,Switzerland
2021-11-23,1043,Bern,Switzerland
2021-11-24,1040,Bern,Switzerland
2021-11-25,983,Bern,Switzerland
2021-11-26,950,Bern,Switzerland
2021-11-27,673,Bern,Switzerland
2021-11-28,466,Bern,Switzerland
2021-11-29,1423,Bern,Switzerland
2021-11-30,1238,Bern,Switzerland
2021-12-01,1237,Bern,Switzerland
2021-12-02,1200,Bern,Switzerland
2021-12-03,1186,Bern,Switzerland
2021-12-04,652,Bern,Switzerland
2021-12-05,590,Bern,Switzerland
2021-12-06,1563,Bern,Switzerland
2021-12-07,1338,Bern,Switzerland
2021-12-08,1125,Bern,Switzerland
2021-12-09,1081,Bern,Switzerland
2021-12-10,1010,Bern,Switzerland
2021-12-11,648,Bern,Switzerland
2021-12-12,543,Bern,Switzerland
2021-12-13,1399,Bern,Switzerland
2021-12-14,1233,Bern,Switzerland
2021-12-15,974,Bern,Switzerland
2021-12-16,940,Bern,Switzerland
2021-12-17,953,Bern,Switzerland
2021-12-18,649,Bern,Switzerland
2021-12-19,448,Bern,Switzerland
2021-12-20,1100,Bern,Switzerland
2021-12-21,1045,Bern,Switzerland
2021-12-22,959,Bern,Switzerland
2021-12-23,987,Bern,Switzerland
2021-12-24,978,Bern,Switzerland
2021-12-25,743,Bern,Switzerland
2021-12-26,688,Bern,Switzerland
2021-12-27,1385,Bern,Switzerland
2021-12-28,1539,Bern,Switzerland
2021-12-29,1568,Bern,Switzerland
2021-12-30,1511,Bern,Switzerland
2021-12-31,1437,Bern,Switzerland
2022-01-01,814,Bern,Switzerland
2022-01-02,1044,Bern,Switzerland
2022-01-03,2747,Bern,Switzerland
2022-01-04,2821,Bern,Switzerland
2022-01-05,2655,Bern,Switzerland
2022-01-06,2663,Bern,Switzerland
2022-01-07,2446,Bern,Switzerland
2022-01-08,1771,Bern,Switzerland
2022-01-09,1469,Bern,Switzerland
2022-01-10,3541,Bern,Switzerland
2022-01-11,3056,Bern,Switzerland
2022-01-12,2978,Bern,Switzerland
2022-01-13,2656,Bern,Switzerland
2022-01-14,2600,Bern,Switzerland
2022-01-15,1938,Bern,Switzerland
2022-01-16,1671,Bern,Switzerland
2022-01-17,4492,Bern,Switzerland
2022-01-18,3905,Bern,Switzerland
2022-01-19,3882,Bern,Switzerland
2022-01-20,3965,Bern,Switzerland
2022-01-21,3929,Bern,Switzerland
2022-01-22,2695,Bern,Switzerland
2022-01-23,2009,Bern,Switzerland
2022-01-24,5211,Bern,Switzerland
2022-01-25,4751,Bern,Switzerland
