city,date,cases,country
Berlin,2021-02-25,363,Germany
Berlin,2021-02-26,442,Germany
Berlin,2021-02-27,275,Germany
Berlin,2021-02-28,212,Germany
Berlin,2021-03-01,452,Germany
Berlin,2021-03-02,392,Germany
Berlin,2021-03-03,442,Germany
Berlin,2021-03-04,368,Germany
Berlin,2021-03-05,405,Germany
Berlin,2021-03-06,334,Germany
Berlin,2021-03-07,276,Germany
Berlin,2021-03-08,358,Germany
Berlin,2021-03-09,539,Germany
Berlin,2021-03-10,545,Germany
Berlin,2021-03-11,525,Germany
Berlin,2021-03-12,629,Germany
Berlin,2021-03-13,425,Germany
Berlin,2021-03-14,351,Germany
Berlin,2021-03-15,723,Germany
Berlin,2021-03-16,586,Germany
Berlin,2021-03-17,671,Germany
Berlin,2021-03-18,681,Germany
Berlin,2021-03-19,697,Germany
Berlin,2021-03-20,549,Germany
Berlin,2021-03-21,444,Germany
Berlin,2021-03-22,811,Germany
Berlin,2021-03-23,882,Germany
Berlin,2021-03-24,820,Germany
Berlin,2021-03-25,812,Germany
Berlin,2021-03-26,888,Germany
Berlin,2021-03-27,535,Germany
Berlin,2021-03-28,404,Germany
Berlin,2021-03-29,846,Germany
Berlin,2021-03-30,810,Germany
Berlin,2021-03-31,838,Germany
Berlin,2021-04-01,861,Germany
Berlin,2021-04-02,551,Germany
Berlin,2021-04-03,722,Germany
Berlin,2021-04-04,512,Germany
Berlin,2021-04-05,617,Germany
Berlin,2021-04-06,731,Germany
Berlin,2021-04-07,743,Germany
Berlin,2021-04-08,814,Germany
Berlin,2021-04-09,802,Germany
Berlin,2021-04-10,642,Germany
Berlin,2021-04-11,455,Germany
Berlin,2021-04-12,896,Germany
Berlin,2021-04-13,751,Germany
Berlin,2021-04-14,885,Germany
Berlin,2021-04-15,771,Germany
Berlin,2021-04-16,909,Germany
Berlin,2021-04-17,533,Germany
Berlin,2021-04-18,448,Germany
Berlin,2021-04-19,839,Germany
Berlin,2021-04-20,859,Germany
Berlin,2021-04-21,839,Germany
Berlin,2021-04-22,771,Germany
Berlin,2021-04-23,743,Germany
Berlin,2021-04-24,515,Germany
Berlin,2021-04-25,358,Germany
Berlin,2021-04-26,784,Germany
Berlin,2021-04-27,639,Germany
Berlin,2021-04-28,724,Germany
Berlin,2021-04-29,648,Germany
Berlin,2021-04-30,573,Germany
Berlin,2021-05-01,411,Germany
Berlin,2021-05-02,279,Germany
Berlin,2021-05-03,599,Germany
Berlin,2021-05-04,558,Germany
Berlin,2021-05-05,520,Germany
Berlin,2021-05-06,477,Germany
Berlin,2021-05-07,503,Germany
Berlin,2021-05-08,271,Germany
Berlin,2021-05-09,211,Germany
Berlin,2021-05-10,452,Germany
Berlin,2021-05-11,385,Germany
Berlin,2021-05-12,449,Germany
Berlin,2021-05-13,222,Germany
Berlin,2021-05-14,334,Germany
Berlin,2021-05-15,211,Germany
Berlin,2021-05-16,165,Germany
Berlin,2021-05-17,315,Germany
Berlin,2021-05-18,304,Germany
Berlin,2021-05-19,277,Germany
Berlin,2021-05-20,195,Germany
Berlin,2021-05-21,229,Germany
Berlin,2021-05-22,118,Germany
Berlin,2021-05-23,95,Germany
Berlin,2021-05-24,145,Germany
Berlin,2021-05-25,186,Germany
Berlin,2021-05-26,194,Germany
Berlin,2021-05-27,210,Germany
Berlin,2021-05-28,196,Germany
Berlin,2021-05-29,94,Germany
Berlin,2021-05-30,57,Germany
Berlin,2021-05-31,148,Germany
Berlin,2021-06-01,132,Germany
Berlin,2021-06-02,156,Germany
Berlin,2021-06-03,178,Germany
Berlin,2021-06-04,105,Germany
Berlin,2021-06-05,55,Germany
Berlin,2021-06-06,40,Germany
Berlin,2021-06-07,85,Germany
Berlin,2021-06-08,71,Germany
Berlin,2021-06-09,74,Germany
Berlin,2021-06-10,67,Germany
Berlin,2021-06-11,60,Germany
Berlin,2021-06-12,28,Germany
Berlin,2021-06-13,23,Germany
Berlin,2021-06-14,54,Germany
Berlin,2021-06-15,38,Germany
Berlin,2021-06-16,61,Germany
Berlin,2021-06-17,36,Germany
Berlin,2021-06-18,46,Germany
Berlin,2021-06-19,25,Germany
Berlin,2021-06-20,22,Germany
Berlin,2021-06-21,50,Germany
Berlin,2021-06-22,35,Germany
Berlin,2021-06-23,48,Germany
Berlin,2021-06-24,26,Germany
Berlin,2021-06-25,41,Germany
Berlin,2021-06-26,19,Germany
Berlin,2021-06-27,21,Germany
Berlin,2021-06-28,48,Germany
Berlin,2021-06-29,37,Germany
Berlin,2021-06-30,42,Germany
Berlin,2021-07-01,39,Germany
Berlin,2021-07-02,45,Germany
Berlin,2021-07-03,42,Germany
Berlin,2021-07-04,43,Germany
Berlin,2021-07-05,67,Germany
Berlin,2021-07-06,60,Germany
Berlin,2021-07-07,56,Germany
Berlin,2021-07-08,63,Germany
Berlin,2021-07-09,64,Germany
Berlin,2021-07-10,73,Germany
Berlin,2021-07-11,75,Germany
Berlin,2021-07-12,150,Germany
Berlin,2021-07-13,140,Germany
Berlin,2021-07-14,133,Germany
Berlin,2021-07-15,132,Germany
Berlin,2021-07-16,144,Germany
Berlin,2021-07-17,95,Germany
Berlin,2021-07-18,94,Germany
Berlin,2021-07-19,180,Germany
Berlin,2021-07-20,150,Germany
Berlin,2021-07-21,152,Germany
Berlin,2021-07-22,153,Germany
Berlin,2021-07-23,165,Germany
Berlin,2021-07-24,122,Germany
Berlin,2021-07-25,126,Germany
Berlin,2021-07-26,217,Germany
Berlin,2021-07-27,200,Germany
Berlin,2021-07-28,202,Germany
Berlin,2021-07-29,175,Germany
Berlin,2021-07-30,180,Germany
Berlin,2021-07-31,146,Germany
Berlin,2021-08-01,165,Germany
Berlin,2021-08-02,281,Germany
Berlin,2021-08-03,268,Germany
Berlin,2021-08-04,282,Germany
Berlin,2021-08-05,270,Germany
Berlin,2021-08-06,262,Germany
Berlin,2021-08-07,219,Germany
Berlin,2021-08-08,231,Germany
Berlin,2021-08-09,399,Germany
Berlin,2021-08-10,409,Germany
Berlin,2021-08-11,477,Germany
Berlin,2021-08-12,392,Germany
Berlin,2021-08-13,442,Germany
Berlin,2021-08-14,259,Germany
Berlin,2021-08-15,267,Germany
Berlin,2021-08-16,504,Germany
Berlin,2021-08-17,454,Germany
Berlin,2021-08-18,465,Germany
Berlin,2021-08-19,386,Germany
Berlin,2021-08-20,477,Germany
Berlin,2021-08-21,272,Germany
Berlin,2021-08-22,262,Germany
Berlin,2021-08-23,531,Germany
Berlin,2021-08-24,489,Germany
Berlin,2021-08-25,533,Germany
Berlin,2021-08-26,491,Germany
Berlin,2021-08-27,489,Germany
Berlin,2021-08-28,301,Germany
Berlin,2021-08-29,289,Germany
Berlin,2021-08-30,637,Germany
Berlin,2021-08-31,685,Germany
Berlin,2021-09-01,582,Germany
Berlin,2021-09-02,446,Germany
Berlin,2021-09-03,494,Germany
Berlin,2021-09-04,334,Germany
Berlin,2021-09-05,279,Germany
Berlin,2021-09-06,593,Germany
Berlin,2021-09-07,559,Germany
Berlin,2021-09-08,522,Germany
Berlin,2021-09-09,503,Germany
Berlin,2021-09-10,490,Germany
Berlin,2021-09-11,272,Germany
Berlin,2021-09-12,227,Germany
Berlin,2021-09-13,530,Germany
Berlin,2021-09-14,500,Germany
Berlin,2021-09-15,465,Germany
Berlin,2021-09-16,396,Germany
Berlin,2021-09-17,400,Germany
Berlin,2021-09-18,259,Germany
Berlin,2021-09-19,240,Germany
Berlin,2021-09-20,492,Germany
Berlin,2021-09-21,484,Germany
Berlin,2021-09-22,487,Germany
Berlin,2021-09-23,376,Germany
Berlin,2021-09-24,515,Germany
Berlin,2021-09-25,303,Germany
Berlin,2021-09-26,323,Germany
Berlin,2021-09-27,480,Germany
Berlin,2021-09-28,484,Germany
Berlin,2021-09-29,512,Germany
Berlin,2021-09-30,396,Germany
Berlin,2021-10-01,444,Germany
Berlin,2021-10-02,305,Germany
Berlin,2021-10-03,317,Germany
Berlin,2021-10-04,545,Germany
Berlin,2021-10-05,518,Germany
Berlin,2021-10-06,519,Germany
Berlin,2021-10-07,508,Germany
Berlin,2021-10-08,543,Germany
Berlin,2021-10-09,342,Germany
Berlin,2021-10-10,358,Germany
Berlin,2021-10-11,625,Germany
Berlin,2021-10-12,614,Germany
Berlin,2021-10-13,660,Germany
Berlin,2021-10-14,598,Germany
Berlin,2021-10-15,682,Germany
Berlin,2021-10-16,463,Germany
Berlin,2021-10-17,465,Germany
Berlin,2021-10-18,726,Germany
Berlin,2021-10-19,769,Germany
Berlin,2021-10-20,802,Germany
Berlin,2021-10-21,694,Germany
Berlin,2021-10-22,792,Germany
Berlin,2021-10-23,500,Germany
Berlin,2021-10-24,480,Germany
Berlin,2021-10-25,902,Germany
Berlin,2021-10-26,893,Germany
Berlin,2021-10-27,949,Germany
Berlin,2021-10-28,895,Germany
Berlin,2021-10-29,963,Germany
Berlin,2021-10-30,665,Germany
Berlin,2021-10-31,507,Germany
Berlin,2021-11-01,1326,Germany
Berlin,2021-11-02,1321,Germany
Berlin,2021-11-03,1443,Germany
Berlin,2021-11-04,1435,Germany
Berlin,2021-11-05,1452,Germany
Berlin,2021-11-06,970,Germany
Berlin,2021-11-07,759,Germany
Berlin,2021-11-08,2177,Germany
Berlin,2021-11-09,1916,Germany
Berlin,2021-11-10,2403,Germany
Berlin,2021-11-11,2068,Germany
Berlin,2021-11-12,2053,Germany
Berlin,2021-11-13,1183,Germany
Berlin,2021-11-14,940,Germany
Berlin,2021-11-15,2647,Germany
Berlin,2021-11-16,2528,Germany
Berlin,2021-11-17,2627,Germany
Berlin,2021-11-18,2218,Germany
Berlin,2021-11-19,2174,Germany
Berlin,2021-11-20,1091,Germany
Berlin,2021-11-21,924,Germany
Berlin,2021-11-22,2810,Germany
Berlin,2021-11-23,2378,Germany
Berlin,2021-11-24,2495,Germany
Berlin,2021-11-25,2231,Germany
Berlin,2021-11-26,2316,Germany
Berlin,2021-11-27,1078,Germany
Berlin,2021-11-28,839,Germany
Berlin,2021-11-29,2393,Germany
Berlin,2021-11-30,2311,Germany
Berlin,2021-12-01,2116,Germany
Berlin,2021-12-02,2214,Germany
Berlin,2021-12-03,2100,Germany
Berlin,2021-12-04,1068,Germany
Berlin,2021-12-05,818,Germany
Berlin,2021-12-06,2400,Germany
Berlin,2021-12-07,2285,Germany
Berlin,2021-12-08,2334,Germany
Berlin,2021-12-09,1845,Germany
Berlin,2021-12-10,1695,Germany
Berlin,2021-12-11,758,Germany
Berlin,2021-12-12,695,Germany
Berlin,2021-12-13,2267,Germany
Berlin,2021-12-14,2078,Germany
Berlin,2021-12-15,2001,Germany
Berlin,2021-12-16,2113,Germany
Berlin,2021-12-17,2053,Germany
Berlin,2021-12-18,907,Germany
Berlin,2021-12-19,694,Germany
Berlin,2021-12-20,2520,Germany
Berlin,2021-12-21,2238,Germany
Berlin,2021-12-22,2026,Germany
Berlin,2021-12-23,1843,Germany
Berlin,2021-12-24,1169,Germany
Berlin,2021-12-25,1248,Germany
Berlin,2021-12-26,1212,Germany
Berlin,2021-12-27,2622,Germany
Berlin,2021-12-28,2516,Germany
Berlin,2021-12-29,2492,Germany
Berlin,2021-12-30,2526,Germany
Berlin,2021-12-31,1734,Germany
Berlin,2022-01-01,1481,Germany
Berlin,2022-01-02,1880,Germany
Berlin,2022-01-03,4062,Germany
Berlin,2022-01-04,4150,Germany
Berlin,2022-01-05,4642,Germany
Berlin,2022-01-06,5319,Germany
Berlin,2022-01-07,5396,Germany
Berlin,2022-01-08,2351,Germany
Berlin,2022-01-09,1825,Germany
Berlin,2022-01-10,6753,Germany
Berlin,2022-01-11,6995,Germany
Berlin,2022-01-12,7527,Germany
Berlin,2022-01-13,6858,Germany
Berlin,2022-01-14,6610,Germany
Berlin,2022-01-15,2670,Germany
Berlin,2022-01-16,2194,Germany
Berlin,2022-01-17,8545,Germany
Berlin,2022-01-18,10172,Germany
Berlin,2022-01-19,12036,Germany
Berlin,2022-01-20,12718,Germany
Berlin,2022-01-21,11853,Germany
Berlin,2022-01-22,3471,Germany
Berlin,2022-01-23,1893,Germany
Berlin,2022-01-24,14357,Germany
Berlin,2022-01-25,15013,Germany
Berlin,2022-01-26,13674,Germany
Berlin,2022-01-27,12458,Germany
Berlin,2022-01-28,10517,Germany
Berlin,2022-01-29,3650,Germany
Berlin,2022-01-30,1570,Germany
Berlin,2022-01-31,12439,Germany
Berlin,2022-02-01,14623,Germany
Berlin,2022-02-02,13332,Germany
Berlin,2022-02-03,12092,Germany
Berlin,2022-02-04,8318,Germany
Berlin,2022-02-05,2680,Germany
Berlin,2022-02-06,1074,Germany
Berlin,2022-02-07,10613,Germany
Berlin,2022-02-08,11608,Germany
Berlin,2022-02-09,10748,Germany
Berlin,2022-02-10,8318,Germany
Berlin,2022-02-11,7070,Germany
Berlin,2022-02-12,1562,Germany
Berlin,2022-02-13,789,Germany
Berlin,2022-02-14,9137,Germany
Berlin,2022-02-15,9593,Germany
Berlin,2022-02-16,7391,Germany
Berlin,2022-02-17,6637,Germany
Berlin,2022-02-18,6683,Germany
Berlin,2022-02-19,2320,Germany
Berlin,2022-02-20,833,Germany
Berlin,2022-02-21,8326,Germany
Berlin,2022-02-22,8107,Germany
Berlin,2022-02-23,8005,Germany
Berlin,2022-02-24,7482,Germany
Berlin,2022-02-25,6178,Germany
Berlin,2022-02-26,1464,Germany
Berlin,2022-02-27,732,Germany
Berlin,2022-02-28,6489,Germany
Berlin,2022-03-01,6481,Germany
Berlin,2022-03-02,6689,Germany
Berlin,2022-03-03,6208,Germany
Berlin,2022-03-04,5374,Germany
Berlin,2022-03-05,1692,Germany
Berlin,2022-03-06,647,Germany
Berlin,2022-03-07,5595,Germany
Berlin,2022-03-08,951,Germany
Berlin,2022-03-09,8335,Germany
Berlin,2022-03-10,6934,Germany
Berlin,2022-03-11,7257,Germany
Berlin,2022-03-12,1656,Germany
Berlin,2022-03-13,881,Germany
Berlin,2022-03-14,9571,Germany
Berlin,2022-03-15,8827,Germany
Berlin,2022-03-16,9004,Germany
Berlin,2022-03-17,6892,Germany
Berlin,2022-03-18,5526,Germany
