date,city,cases,country
2020-11-19,San Martin,82,Peru
2020-11-20,San Martin,106,Peru
2020-11-21,San Martin,45,Peru
2020-11-22,San Martin,17,Peru
2020-11-23,San Martin,125,Peru
2020-11-24,San Martin,65,Peru
2020-11-25,San Martin,64,Peru
2020-11-26,San Martin,76,Peru
2020-11-27,San Martin,68,Peru
2020-11-28,San Martin,67,Peru
2020-11-29,San Martin,35,Peru
2020-11-30,San Martin,57,Peru
2020-12-01,San Martin,71,Peru
2020-12-02,San Martin,41,Peru
2020-12-03,San Martin,38,Peru
2020-12-04,San Martin,32,Peru
2020-12-05,San Martin,22,Peru
2020-12-07,San Martin,36,Peru
2020-12-08,San Martin,23,Peru
2020-12-09,San Martin,61,Peru
2020-12-10,San Martin,48,Peru
2020-12-11,San Martin,89,Peru
2020-12-12,San Martin,68,Peru
2020-12-13,San Martin,29,Peru
2020-12-14,San Martin,57,Peru
2020-12-15,San Martin,73,Peru
2020-12-16,San Martin,93,Peru
2020-12-17,San Martin,72,Peru
2020-12-18,San Martin,32,Peru
2020-12-19,San Martin,44,Peru
2020-12-20,San Martin,27,Peru
2020-12-21,San Martin,91,Peru
2020-12-22,San Martin,48,Peru
2020-12-23,San Martin,52,Peru
2020-12-24,San Martin,23,Peru
2020-12-25,San Martin,14,Peru
2020-12-26,San Martin,20,Peru
2020-12-27,San Martin,62,Peru
2020-12-28,San Martin,48,Peru
2020-12-29,San Martin,57,Peru
2020-12-30,San Martin,52,Peru
2020-12-31,San Martin,10,Peru
2021-01-01,San Martin,8,Peru
2021-01-02,San Martin,17,Peru
2021-01-03,San Martin,24,Peru
2021-01-04,San Martin,21,Peru
2021-01-05,San Martin,62,Peru
2021-01-06,San Martin,36,Peru
2021-01-07,San Martin,63,Peru
2021-01-08,San Martin,60,Peru
2021-01-09,San Martin,21,Peru
2021-01-10,San Martin,46,Peru
2021-01-11,San Martin,29,Peru
2021-01-12,San Martin,100,Peru
2021-01-13,San Martin,55,Peru
2021-01-14,San Martin,71,Peru
2021-01-15,San Martin,88,Peru
2021-01-16,San Martin,44,Peru
2021-01-17,San Martin,39,Peru
2021-01-18,San Martin,92,Peru
2021-01-19,San Martin,70,Peru
2021-01-20,San Martin,109,Peru
2021-01-21,San Martin,120,Peru
2021-01-22,San Martin,113,Peru
2021-01-23,San Martin,51,Peru
2021-01-24,San Martin,46,Peru
2021-01-25,San Martin,105,Peru
2021-01-26,San Martin,92,Peru
2021-01-27,San Martin,126,Peru
2021-01-28,San Martin,92,Peru
2021-01-29,San Martin,67,Peru
2021-01-30,San Martin,64,Peru
2021-01-31,San Martin,44,Peru
2021-02-01,San Martin,130,Peru
2021-02-02,San Martin,109,Peru
2021-02-03,San Martin,110,Peru
2021-02-04,San Martin,136,Peru
2021-02-05,San Martin,76,Peru
2021-02-06,San Martin,39,Peru
2021-02-07,San Martin,47,Peru
2021-02-08,San Martin,90,Peru
2021-02-09,San Martin,103,Peru
2021-02-10,San Martin,113,Peru
2021-02-11,San Martin,62,Peru
2021-02-12,San Martin,81,Peru
2021-02-13,San Martin,70,Peru
2021-02-14,San Martin,19,Peru
2021-02-15,San Martin,102,Peru
2021-02-16,San Martin,86,Peru
2021-02-17,San Martin,77,Peru
2021-02-18,San Martin,85,Peru
2021-02-19,San Martin,78,Peru
2021-02-20,San Martin,116,Peru
2021-02-21,San Martin,39,Peru
2021-02-22,San Martin,96,Peru
2021-02-23,San Martin,96,Peru
2021-02-24,San Martin,81,Peru
2021-02-25,San Martin,67,Peru
2021-02-26,San Martin,65,Peru
2021-02-27,San Martin,90,Peru
2021-02-28,San Martin,17,Peru
2021-03-01,San Martin,123,Peru
2021-03-02,San Martin,121,Peru
2021-03-03,San Martin,103,Peru
2021-03-04,San Martin,131,Peru
2021-03-05,San Martin,108,Peru
2021-03-06,San Martin,106,Peru
2021-03-07,San Martin,46,Peru
2021-03-08,San Martin,153,Peru
2021-03-09,San Martin,144,Peru
2021-03-10,San Martin,140,Peru
2021-03-11,San Martin,87,Peru
2021-03-12,San Martin,108,Peru
2021-03-13,San Martin,94,Peru
2021-03-14,San Martin,86,Peru
2021-03-15,San Martin,162,Peru
2021-03-16,San Martin,175,Peru
2021-03-17,San Martin,161,Peru
2021-03-18,San Martin,101,Peru
2021-03-19,San Martin,186,Peru
2021-03-20,San Martin,100,Peru
2021-03-21,San Martin,52,Peru
2021-03-22,San Martin,211,Peru
2021-03-23,San Martin,158,Peru
2021-03-24,San Martin,230,Peru
2021-03-25,San Martin,229,Peru
2021-03-26,San Martin,208,Peru
2021-03-27,San Martin,155,Peru
2021-03-28,San Martin,87,Peru
2021-03-29,San Martin,244,Peru
2021-03-30,San Martin,258,Peru
2021-03-31,San Martin,256,Peru
2021-04-01,San Martin,147,Peru
2021-04-02,San Martin,110,Peru
2021-04-03,San Martin,171,Peru
2021-04-04,San Martin,94,Peru
2021-04-05,San Martin,338,Peru
2021-04-06,San Martin,291,Peru
2021-04-07,San Martin,255,Peru
2021-04-08,San Martin,294,Peru
2021-04-09,San Martin,256,Peru
2021-04-10,San Martin,188,Peru
2021-04-11,San Martin,104,Peru
2021-04-12,San Martin,278,Peru
2021-04-13,San Martin,265,Peru
2021-04-14,San Martin,235,Peru
2021-04-15,San Martin,249,Peru
2021-04-16,San Martin,249,Peru
2021-04-17,San Martin,243,Peru
2021-04-18,San Martin,99,Peru
2021-04-19,San Martin,264,Peru
2021-04-20,San Martin,246,Peru
2021-04-21,San Martin,234,Peru
2021-04-22,San Martin,261,Peru
2021-04-23,San Martin,241,Peru
2021-04-24,San Martin,220,Peru
2021-04-25,San Martin,88,Peru
2021-04-26,San Martin,257,Peru
2021-04-27,San Martin,197,Peru
2021-04-28,San Martin,153,Peru
2021-04-29,San Martin,145,Peru
2021-04-30,San Martin,146,Peru
2021-05-01,San Martin,84,Peru
2021-05-02,San Martin,37,Peru
2021-05-03,San Martin,186,Peru
2021-05-04,San Martin,167,Peru
2021-05-05,San Martin,157,Peru
2021-05-06,San Martin,190,Peru
2021-05-07,San Martin,110,Peru
2021-05-08,San Martin,138,Peru
2021-05-09,San Martin,44,Peru
2021-05-10,San Martin,193,Peru
2021-05-11,San Martin,149,Peru
2021-05-12,San Martin,123,Peru
2021-05-13,San Martin,129,Peru
2021-05-14,San Martin,98,Peru
2021-05-15,San Martin,105,Peru
2021-05-16,San Martin,50,Peru
2021-05-17,San Martin,151,Peru
2021-05-18,San Martin,155,Peru
2021-05-19,San Martin,97,Peru
2021-05-20,San Martin,121,Peru
2021-05-21,San Martin,92,Peru
2021-05-22,San Martin,89,Peru
2021-05-23,San Martin,34,Peru
2021-05-24,San Martin,99,Peru
2021-05-25,San Martin,94,Peru
2021-05-26,San Martin,81,Peru
2021-05-27,San Martin,72,Peru
2021-05-28,San Martin,56,Peru
2021-05-29,San Martin,73,Peru
2021-05-30,San Martin,28,Peru
2021-05-31,San Martin,85,Peru
2021-06-01,San Martin,77,Peru
2021-06-02,San Martin,75,Peru
2021-06-03,San Martin,82,Peru
2021-06-04,San Martin,56,Peru
2021-06-05,San Martin,40,Peru
2021-06-06,San Martin,8,Peru
2021-06-07,San Martin,81,Peru
2021-06-08,San Martin,64,Peru
2021-06-09,San Martin,78,Peru
2021-06-10,San Martin,65,Peru
2021-06-11,San Martin,68,Peru
2021-06-12,San Martin,66,Peru
2021-06-13,San Martin,15,Peru
