"date,""mcccityname1"",""cases"""
"2021-05-07,""Barnsley"",23"
"2021-05-06,""Barnsley"",33"
"2021-05-05,""Barnsley"",16"
"2021-05-04,""Barnsley"",22"
"2021-05-03,""Barnsley"",14"
"2021-05-02,""Barnsley"",19"
"2021-05-01,""Barnsley"",19"
"2021-04-30,""Barnsley"",32"
"2021-04-29,""Barnsley"",29"
"2021-04-28,""Barnsley"",12"
"2021-04-27,""Barnsley"",24"
"2021-04-26,""Barnsley"",24"
"2021-04-25,""Barnsley"",11"
"2021-04-24,""Barnsley"",18"
"2021-04-23,""Barnsley"",28"
"2021-04-22,""Barnsley"",25"
"2021-04-21,""Barnsley"",20"
"2021-04-20,""Barnsley"",25"
"2021-04-19,""Barnsley"",18"
"2021-04-18,""Barnsley"",10"
"2021-04-17,""Barnsley"",22"
"2021-04-16,""Barnsley"",25"
"2021-04-15,""Barnsley"",22"
"2021-04-14,""Barnsley"",20"
"2021-04-13,""Barnsley"",21"
"2021-04-12,""Barnsley"",28"
"2021-04-11,""Barnsley"",33"
"2021-04-10,""Barnsley"",26"
"2021-04-09,""Barnsley"",8"
"2021-04-08,""Barnsley"",42"
"2021-04-07,""Barnsley"",14"
"2021-04-06,""Barnsley"",25"
"2021-04-05,""Barnsley"",53"
"2021-04-04,""Barnsley"",27"
"2021-04-03,""Barnsley"",44"
"2021-04-02,""Barnsley"",35"
"2021-04-01,""Barnsley"",48"
"2021-03-31,""Barnsley"",36"
"2021-03-30,""Barnsley"",29"
"2021-03-29,""Barnsley"",50"
"2021-03-28,""Barnsley"",36"
"2021-03-27,""Barnsley"",39"
"2021-03-26,""Barnsley"",64"
"2021-03-25,""Barnsley"",74"
"2021-03-24,""Barnsley"",48"
"2021-03-23,""Barnsley"",60"
"2021-03-22,""Barnsley"",63"
"2021-03-21,""Barnsley"",36"
"2021-03-20,""Barnsley"",69"
"2021-03-19,""Barnsley"",56"
"2021-03-18,""Barnsley"",95"
"2021-03-17,""Barnsley"",61"
"2021-03-16,""Barnsley"",69"
"2021-03-15,""Barnsley"",83"
"2021-03-14,""Barnsley"",52"
"2021-03-13,""Barnsley"",68"
"2021-03-12,""Barnsley"",62"
"2021-03-11,""Barnsley"",53"
"2021-03-10,""Barnsley"",68"
"2021-03-09,""Barnsley"",50"
"2021-03-08,""Barnsley"",34"
"2021-03-07,""Barnsley"",42"
"2021-03-06,""Barnsley"",52"
"2021-03-05,""Barnsley"",56"
"2021-03-04,""Barnsley"",63"
"2021-03-03,""Barnsley"",60"
"2021-03-02,""Barnsley"",50"
"2021-03-01,""Barnsley"",46"
"2021-02-28,""Barnsley"",43"
"2021-02-27,""Barnsley"",64"
"2021-02-26,""Barnsley"",59"
"2021-02-25,""Barnsley"",73"
"2021-02-24,""Barnsley"",55"
"2021-02-23,""Barnsley"",47"
"2021-02-22,""Barnsley"",70"
"2021-02-21,""Barnsley"",48"
"2021-02-20,""Barnsley"",50"
"2021-02-19,""Barnsley"",82"
"2021-02-18,""Barnsley"",67"
"2021-02-17,""Barnsley"",78"
"2021-02-16,""Barnsley"",61"
"2021-02-15,""Barnsley"",50"
"2021-02-14,""Barnsley"",41"
"2021-02-13,""Barnsley"",73"
"2021-02-12,""Barnsley"",66"
"2021-02-11,""Barnsley"",76"
"2021-02-10,""Barnsley"",79"
"2021-02-09,""Barnsley"",45"
"2021-02-08,""Barnsley"",59"
"2021-02-07,""Barnsley"",68"
"2021-02-06,""Barnsley"",90"
"2021-02-05,""Barnsley"",73"
"2021-02-04,""Barnsley"",62"
"2021-02-03,""Barnsley"",76"
"2021-02-02,""Barnsley"",71"
"2021-02-01,""Barnsley"",47"
"2021-01-31,""Barnsley"",68"
"2021-01-30,""Barnsley"",82"
"2021-01-29,""Barnsley"",80"
"2021-01-28,""Barnsley"",103"
"2021-01-27,""Barnsley"",83"
"2021-01-26,""Barnsley"",80"
"2021-01-25,""Barnsley"",75"
"2021-01-24,""Barnsley"",85"
"2021-01-23,""Barnsley"",96"
"2021-01-22,""Barnsley"",112"
"2021-01-21,""Barnsley"",106"
"2021-01-20,""Barnsley"",103"
"2021-01-19,""Barnsley"",106"
"2021-01-18,""Barnsley"",89"
"2021-01-17,""Barnsley"",64"
"2021-01-16,""Barnsley"",48"
"2021-01-15,""Barnsley"",77"
"2021-01-14,""Barnsley"",97"
"2021-01-13,""Barnsley"",118"
"2021-01-12,""Barnsley"",70"
"2021-01-11,""Barnsley"",55"
"2021-01-10,""Barnsley"",95"
"2021-01-09,""Barnsley"",72"
"2021-01-08,""Barnsley"",101"
"2021-01-07,""Barnsley"",98"
"2021-01-06,""Barnsley"",124"
"2021-01-05,""Barnsley"",110"
"2021-01-04,""Barnsley"",91"
"2021-01-03,""Barnsley"",75"
"2021-01-02,""Barnsley"",133"
"2021-01-01,""Barnsley"",86"
"2020-12-31,""Barnsley"",89"
"2020-12-30,""Barnsley"",81"
"2020-12-29,""Barnsley"",92"
"2020-12-28,""Barnsley"",130"
"2020-12-27,""Barnsley"",65"
"2020-12-26,""Barnsley"",33"
"2020-12-25,""Barnsley"",61"
"2020-12-24,""Barnsley"",99"
"2020-12-23,""Barnsley"",98"
"2020-12-22,""Barnsley"",89"
"2020-12-21,""Barnsley"",83"
"2020-12-20,""Barnsley"",52"
"2020-12-19,""Barnsley"",47"
"2020-12-18,""Barnsley"",58"
"2020-12-17,""Barnsley"",52"
"2020-12-16,""Barnsley"",64"
"2020-12-15,""Barnsley"",76"
"2020-12-14,""Barnsley"",41"
"2020-12-13,""Barnsley"",65"
"2020-12-12,""Barnsley"",34"
"2020-12-11,""Barnsley"",64"
"2020-12-10,""Barnsley"",66"
"2020-12-09,""Barnsley"",54"
"2020-12-08,""Barnsley"",25"
"2020-12-07,""Barnsley"",36"
"2020-12-06,""Barnsley"",51"
"2020-12-05,""Barnsley"",39"
"2020-12-04,""Barnsley"",57"
"2020-12-03,""Barnsley"",58"
"2020-12-02,""Barnsley"",63"
"2020-12-01,""Barnsley"",50"
"2020-11-30,""Barnsley"",45"
"2020-11-29,""Barnsley"",48"
"2020-11-28,""Barnsley"",61"
"2020-11-27,""Barnsley"",86"
"2020-11-26,""Barnsley"",62"
"2020-11-25,""Barnsley"",82"
"2020-11-24,""Barnsley"",79"
"2020-11-23,""Barnsley"",99"
"2020-11-22,""Barnsley"",57"
"2020-11-21,""Barnsley"",88"
"2020-11-20,""Barnsley"",94"
"2020-11-19,""Barnsley"",116"
"2020-11-18,""Barnsley"",132"
"2020-11-17,""Barnsley"",104"
"2020-11-16,""Barnsley"",63"
"2020-11-15,""Barnsley"",141"
"2020-11-14,""Barnsley"",123"
"2020-11-13,""Barnsley"",143"
"2020-11-12,""Barnsley"",215"
"2020-11-11,""Barnsley"",130"
"2020-11-10,""Barnsley"",148"
"2020-11-09,""Barnsley"",111"
"2020-11-08,""Barnsley"",171"
"2020-11-07,""Barnsley"",170"
"2020-11-06,""Barnsley"",143"
"2020-11-05,""Barnsley"",214"
"2020-11-04,""Barnsley"",176"
"2020-11-03,""Barnsley"",171"
"2020-11-02,""Barnsley"",178"
"2020-11-01,""Barnsley"",188"
"2020-10-31,""Barnsley"",216"
"2020-10-30,""Barnsley"",205"
"2020-10-29,""Barnsley"",206"
"2020-10-28,""Barnsley"",224"
"2020-10-27,""Barnsley"",155"
"2020-10-26,""Barnsley"",170"
"2020-10-25,""Barnsley"",175"
"2020-10-24,""Barnsley"",197"
"2020-10-23,""Barnsley"",150"
"2020-10-22,""Barnsley"",196"
"2020-10-21,""Barnsley"",264"
"2020-10-20,""Barnsley"",193"
"2020-10-19,""Barnsley"",206"
"2020-10-18,""Barnsley"",185"
"2020-10-17,""Barnsley"",155"
"2020-10-16,""Barnsley"",111"
"2020-10-15,""Barnsley"",131"
"2020-10-14,""Barnsley"",149"
"2020-10-13,""Barnsley"",112"
"2020-10-12,""Barnsley"",86"
"2020-10-11,""Barnsley"",130"
"2020-10-10,""Barnsley"",112"
"2020-10-09,""Barnsley"",51"
"2020-10-08,""Barnsley"",97"
"2020-10-07,""Barnsley"",55"
"2020-10-06,""Barnsley"",86"
"2020-10-05,""Barnsley"",72"
"2020-10-04,""Barnsley"",89"
"2020-10-03,""Barnsley"",74"
"2020-10-02,""Barnsley"",28"
"2020-10-01,""Barnsley"",23"
"2020-09-30,""Barnsley"",44"
"2020-09-29,""Barnsley"",22"
"2020-09-28,""Barnsley"",13"
"2020-09-27,""Barnsley"",24"
"2020-09-26,""Barnsley"",22"
"2020-09-25,""Barnsley"",16"
"2020-09-24,""Barnsley"",12"
"2020-09-23,""Barnsley"",16"
"2020-09-22,""Barnsley"",16"
"2020-09-21,""Barnsley"",10"
"2020-09-20,""Barnsley"",18"
"2020-09-19,""Barnsley"",9"
"2020-09-18,""Barnsley"",8"
"2020-09-17,""Barnsley"",8"
"2020-09-16,""Barnsley"",11"
"2020-09-15,""Barnsley"",17"
"2020-09-14,""Barnsley"",6"
"2020-09-13,""Barnsley"",9"
"2020-09-12,""Barnsley"",9"
"2020-09-11,""Barnsley"",10"
"2020-09-10,""Barnsley"",10"
"2020-09-09,""Barnsley"",10"
"2020-09-08,""Barnsley"",5"
"2020-09-07,""Barnsley"",17"
"2020-09-06,""Barnsley"",13"
"2020-09-05,""Barnsley"",11"
"2020-09-04,""Barnsley"",10"
"2020-09-03,""Barnsley"",10"
"2020-09-02,""Barnsley"",3"
"2020-09-01,""Barnsley"",0"
"2020-08-31,""Barnsley"",5"
"2020-08-30,""Barnsley"",2"
"2020-08-29,""Barnsley"",1"
"2020-08-28,""Barnsley"",5"
"2020-08-27,""Barnsley"",5"
"2020-08-26,""Barnsley"",1"
"2020-08-25,""Barnsley"",7"
"2020-08-24,""Barnsley"",1"
"2020-08-23,""Barnsley"",1"
"2020-08-22,""Barnsley"",3"
"2020-08-21,""Barnsley"",4"
"2020-08-20,""Barnsley"",4"
"2020-08-19,""Barnsley"",2"
"2020-08-18,""Barnsley"",5"
"2020-08-17,""Barnsley"",6"
"2020-08-16,""Barnsley"",9"
"2020-08-15,""Barnsley"",6"
"2020-08-14,""Barnsley"",22"
"2020-08-13,""Barnsley"",0"
"2020-08-12,""Barnsley"",9"
"2020-08-11,""Barnsley"",4"
"2020-08-10,""Barnsley"",5"
"2020-08-09,""Barnsley"",12"
