"date,""mcccityname1"",""cases"""
"2020-04-25,""Teresina"",19"
"2020-04-25,""Vitoria"",10"
"2020-04-26,""Belo Horizonte"",16"
"2020-04-26,""Belem"",148"
"2020-04-26,""Curitiba"",3"
"2020-04-26,""Cuiaba"",3"
"2020-04-26,""Fortaleza"",450"
"2020-04-26,""Goiania"",1"
"2020-04-26,""Joao Pessoa"",36"
"2020-04-26,""Maceio"",45"
"2020-04-26,""Manaus"",44"
"2020-04-26,""Natal"",-1"
"2020-04-26,""Porto Alegre"",2"
"2020-04-26,""Recife"",946"
"2020-04-26,""Salvador"",54"
"2020-04-26,""Sao Luis"",0"
"2020-04-26,""Sao Paulo"",415"
"2020-04-26,""Teresina"",14"
"2020-04-26,""Vitoria"",26"
"2020-04-27,""Belo Horizonte"",15"
"2020-04-27,""Belem"",58"
"2020-04-27,""Curitiba"",-1"
"2020-04-27,""Cuiaba"",10"
"2020-04-27,""Fortaleza"",335"
"2020-04-27,""Goiania"",0"
"2020-04-27,""Joao Pessoa"",61"
"2020-04-27,""Maceio"",63"
"2020-04-27,""Manaus"",16"
"2020-04-27,""Natal"",6"
"2020-04-27,""Porto Alegre"",3"
"2020-04-27,""Recife"",249"
"2020-04-27,""Salvador"",73"
"2020-04-27,""Sao Luis"",1"
"2020-04-27,""Sao Paulo"",476"
"2020-04-27,""Teresina"",34"
"2020-04-27,""Vitoria"",37"
"2020-04-28,""Belo Horizonte"",10"
"2020-04-28,""Belem"",43"
"2020-04-28,""Curitiba"",1"
