"regionname","date","cases"
"Victoria",2020-03-10,18
"Western Australia",2020-03-10,6
"Australian Capital Territory",2020-03-11,0
"New South Wales",2020-03-11,65
"Northern Territory",2020-03-11,1
"Queensland",2020-03-11,20
"South Australia",2020-03-11,9
"Tasmania",2020-03-11,3
"Victoria",2020-03-11,21
"Western Australia",2020-03-11,9
"Australian Capital Territory",2020-03-12,0
"New South Wales",2020-03-12,65
"Northern Territory",2020-03-12,1
"Queensland",2020-03-12,20
"South Australia",2020-03-12,9
"Tasmania",2020-03-12,3
"Victoria",2020-03-12,21
"Western Australia",2020-03-12,9
"Australian Capital Territory",2020-03-13,1
"New South Wales",2020-03-13,92
"Northern Territory",2020-03-13,1
"Queensland",2020-03-13,35
"South Australia",2020-03-13,16
"Tasmania",2020-03-13,5
"Victoria",2020-03-13,36
"Western Australia",2020-03-13,14
"Australian Capital Territory",2020-03-14,1
"New South Wales",2020-03-14,112
"Northern Territory",2020-03-14,1
"Queensland",2020-03-14,46
"South Australia",2020-03-14,19
"Tasmania",2020-03-14,5
"Victoria",2020-03-14,49
"Western Australia",2020-03-14,17
"Australian Capital Territory",2020-03-15,1
"New South Wales",2020-03-15,134
"Northern Territory",2020-03-15,1
"Queensland",2020-03-15,61
"South Australia",2020-03-15,20
"Tasmania",2020-03-15,6
"Victoria",2020-03-15,57
"Western Australia",2020-03-15,17
"Australian Capital Territory",2020-03-16,2
"New South Wales",2020-03-16,171
"Northern Territory",2020-03-16,1
"Queensland",2020-03-16,68
"South Australia",2020-03-16,29
"Tasmania",2020-03-16,7
"Victoria",2020-03-16,71
"Western Australia",2020-03-16,28
"Australian Capital Territory",2020-03-17,2
"New South Wales",2020-03-17,210
"Northern Territory",2020-03-17,1
"Queensland",2020-03-17,78
"South Australia",2020-03-17,29
"Tasmania",2020-03-17,7
"Victoria",2020-03-17,94
"Western Australia",2020-03-17,31
"Australian Capital Territory",2020-03-18,3
"New South Wales",2020-03-18,267
"Northern Territory",2020-03-18,1
"Queensland",2020-03-18,94
"South Australia",2020-03-18,37
"Tasmania",2020-03-18,10
"Victoria",2020-03-18,121
"Western Australia",2020-03-18,35
"Australian Capital Territory",2020-03-19,4
"New South Wales",2020-03-19,307
"Northern Territory",2020-03-19,1
"Queensland",2020-03-19,144
"South Australia",2020-03-19,42
"Tasmania",2020-03-19,10
"Victoria",2020-03-19,121
"Western Australia",2020-03-19,52
"Australian Capital Territory",2020-03-20,6
"New South Wales",2020-03-20,353
"Northern Territory",2020-03-20,3
"Queensland",2020-03-20,184
"South Australia",2020-03-20,50
"Tasmania",2020-03-20,10
"Victoria",2020-03-20,121
"Western Australia",2020-03-20,64
"Australian Capital Territory",2020-03-21,9
"New South Wales",2020-03-21,436
"Northern Territory",2020-03-21,3
"Queensland",2020-03-21,221
"South Australia",2020-03-21,67
"Tasmania",2020-03-21,16
"Victoria",2020-03-21,229
"Western Australia",2020-03-21,90
"Australian Capital Territory",2020-03-22,19
"New South Wales",2020-03-22,669
"Northern Territory",2020-03-22,5
"Queensland",2020-03-22,259
"South Australia",2020-03-22,100
"Tasmania",2020-03-22,22
"Victoria",2020-03-22,355
"Western Australia",2020-03-22,120
"Australian Capital Territory",2020-03-23,32
"New South Wales",2020-03-23,669
"Northern Territory",2020-03-23,5
