"date","regionname","cases"
2021-05-08,"Scotland",224
2021-05-07,"Scotland",236
2021-05-06,"Scotland",283
2021-05-05,"Scotland",85
2021-05-04,"Scotland",139
2021-05-03,"Scotland",132
2021-05-02,"Scotland",146
2021-05-01,"Scotland",175
2021-04-30,"Scotland",191
2021-04-29,"Scotland",178
2021-04-28,"Scotland",204
2021-04-27,"Scotland",133
2021-04-26,"Scotland",142
2021-04-25,"Scotland",176
2021-04-24,"Scotland",177
2021-04-23,"Scotland",255
2021-04-22,"Scotland",231
2021-04-21,"Scotland",273
2021-04-20,"Scotland",178
2021-04-19,"Scotland",232
2021-04-18,"Scotland",211
2021-04-17,"Scotland",210
2021-04-16,"Scotland",204
2021-04-15,"Scotland",237
2021-04-14,"Scotland",278
2021-04-13,"Scotland",221
2021-04-12,"Scotland",199
2021-04-11,"Scotland",250
2021-04-10,"Scotland",281
2021-04-09,"Scotland",285
2021-04-08,"Scotland",364
2021-04-07,"Scotland",289
2021-04-06,"Scotland",259
2021-04-05,"Scotland",248
2021-04-04,"Scotland",343
2021-04-03,"Scotland",397
2021-04-02,"Scotland",414
2021-04-01,"Scotland",400
2021-03-31,"Scotland",542
2021-03-30,"Scotland",411
2021-03-29,"Scotland",352
2021-03-28,"Scotland",422
2021-03-27,"Scotland",563
2021-03-26,"Scotland",543
2021-03-25,"Scotland",701
2021-03-24,"Scotland",692
2021-03-23,"Scotland",495
2021-03-22,"Scotland",359
2021-03-21,"Scotland",532
2021-03-20,"Scotland",488
2021-03-19,"Scotland",655
2021-03-18,"Scotland",624
2021-03-17,"Scotland",625
2021-03-16,"Scotland",597
2021-03-15,"Scotland",456
2021-03-14,"Scotland",484
2021-03-13,"Scotland",639
2021-03-12,"Scotland",682
2021-03-11,"Scotland",591
2021-03-10,"Scotland",691
2021-03-09,"Scotland",466
2021-03-08,"Scotland",501
2021-03-07,"Scotland",390
2021-03-06,"Scotland",555
2021-03-05,"Scotland",498
2021-03-04,"Scotland",500
2021-03-03,"Scotland",543
2021-03-02,"Scotland",542
2021-03-01,"Scotland",386
2021-02-28,"Scotland",572
2021-02-27,"Scotland",525
2021-02-26,"Scotland",581
