"date","regionname","cases"
2020-07-17,"West Malaysia",7
2020-07-18,"East Malaysia",7
2020-07-18,"West Malaysia",2
2020-07-19,"East Malaysia",7
2020-07-19,"West Malaysia",8
2020-07-20,"East Malaysia",1
2020-07-20,"West Malaysia",20
2020-07-21,"East Malaysia",12
2020-07-21,"West Malaysia",3
2020-07-22,"East Malaysia",9
2020-07-22,"West Malaysia",7
2020-07-23,"East Malaysia",5
2020-07-23,"West Malaysia",4
2020-07-24,"East Malaysia",9
2020-07-24,"West Malaysia",12
2020-07-25,"East Malaysia",9
2020-07-25,"West Malaysia",14
2020-07-26,"East Malaysia",2
2020-07-26,"West Malaysia",11
2020-07-27,"East Malaysia",4
2020-07-27,"West Malaysia",3
2020-07-28,"East Malaysia",29
2020-07-28,"West Malaysia",10
2020-07-29,"East Malaysia",3
2020-07-29,"West Malaysia",10
2020-07-30,"East Malaysia",4
2020-07-30,"West Malaysia",4
2020-07-31,"East Malaysia",2
2020-07-31,"West Malaysia",10
2020-08-01,"East Malaysia",0
2020-08-01,"West Malaysia",9
2020-08-02,"East Malaysia",2
2020-08-02,"West Malaysia",12
2020-08-03,"East Malaysia",1
2020-08-03,"West Malaysia",1
2020-08-04,"East Malaysia",0
2020-08-04,"West Malaysia",1
2020-08-05,"East Malaysia",2
2020-08-05,"West Malaysia",19
2020-08-06,"East Malaysia",5
2020-08-06,"West Malaysia",10
2020-08-07,"East Malaysia",5
2020-08-07,"West Malaysia",20
2020-08-08,"East Malaysia",2
2020-08-08,"West Malaysia",5
2020-08-09,"East Malaysia",1
2020-08-09,"West Malaysia",12
2020-08-10,"East Malaysia",0
2020-08-10,"West Malaysia",11
2020-08-11,"East Malaysia",1
2020-08-11,"West Malaysia",8
2020-08-12,"East Malaysia",4
2020-08-12,"West Malaysia",7
2020-08-13,"East Malaysia",0
2020-08-13,"West Malaysia",15
2020-08-14,"East Malaysia",1
2020-08-14,"West Malaysia",19
2020-08-15,"East Malaysia",0
2020-08-15,"West Malaysia",26
2020-08-16,"East Malaysia",1
2020-08-16,"West Malaysia",24
2020-08-17,"East Malaysia",0
2020-08-17,"West Malaysia",12
2020-08-18,"East Malaysia",0
2020-08-18,"West Malaysia",7
2020-08-19,"East Malaysia",1
2020-08-19,"West Malaysia",15
2020-08-20,"East Malaysia",4
2020-08-20,"West Malaysia",1
2020-08-21,"East Malaysia",1
2020-08-21,"West Malaysia",8
2020-08-22,"East Malaysia",2
2020-08-22,"West Malaysia",6
2020-08-23,"East Malaysia",3
2020-08-23,"West Malaysia",7
2020-08-24,"East Malaysia",5
2020-08-24,"West Malaysia",2
2020-08-25,"East Malaysia",0
2020-08-25,"West Malaysia",11
2020-08-26,"East Malaysia",0
2020-08-26,"West Malaysia",6
2020-08-27,"East Malaysia",0
2020-08-27,"West Malaysia",5
2020-08-28,"East Malaysia",1
2020-08-28,"West Malaysia",9
2020-08-29,"East Malaysia",1
2020-08-29,"West Malaysia",10
2020-08-30,"East Malaysia",1
2020-08-30,"West Malaysia",16
2020-08-31,"East Malaysia",0
2020-08-31,"West Malaysia",6
2020-09-01,"East Malaysia",9
2020-09-01,"West Malaysia",5
2020-09-02,"East Malaysia",0
2020-09-02,"West Malaysia",6
2020-09-03,"East Malaysia",6
2020-09-03,"West Malaysia",8
2020-09-04,"East Malaysia",0
2020-09-04,"West Malaysia",11
2020-09-05,"East Malaysia",1
2020-09-05,"West Malaysia",5
2020-09-06,"East Malaysia",2
2020-09-06,"West Malaysia",4
2020-09-07,"East Malaysia",51
2020-09-07,"West Malaysia",11
2020-09-08,"East Malaysia",62
2020-09-08,"West Malaysia",38
2020-09-09,"East Malaysia",5
2020-09-09,"West Malaysia",19
2020-09-10,"East Malaysia",40
2020-09-10,"West Malaysia",5
2020-09-11,"East Malaysia",167
2020-09-11,"West Malaysia",15
2020-09-12,"East Malaysia",49
2020-09-12,"West Malaysia",9
2020-09-13,"East Malaysia",31
2020-09-13,"West Malaysia",16
2020-09-14,"East Malaysia",25
2020-09-14,"West Malaysia",6
2020-09-15,"East Malaysia",13
2020-09-15,"West Malaysia",10
2020-09-16,"East Malaysia",60
2020-09-16,"West Malaysia",2
2020-09-17,"East Malaysia",9
2020-09-17,"West Malaysia",12
2020-09-18,"East Malaysia",91
2020-09-18,"West Malaysia",4
2020-09-19,"East Malaysia",8
2020-09-19,"West Malaysia",12
2020-09-20,"East Malaysia",38
2020-09-20,"West Malaysia",14
2020-09-21,"East Malaysia",49
2020-09-21,"West Malaysia",8
2020-09-22,"East Malaysia",62
2020-09-22,"West Malaysia",20
2020-09-23,"East Malaysia",134
2020-09-23,"West Malaysia",13
2020-09-24,"East Malaysia",64
2020-09-24,"West Malaysia",8
2020-09-25,"East Malaysia",96
2020-09-25,"West Malaysia",14
2020-09-26,"East Malaysia",66
2020-09-26,"West Malaysia",16
2020-09-27,"East Malaysia",126
2020-09-27,"West Malaysia",24
2020-09-28,"East Malaysia",99
2020-09-28,"West Malaysia",16
2020-09-29,"East Malaysia",76
2020-09-29,"West Malaysia",25
2020-09-30,"East Malaysia",40
2020-09-30,"West Malaysia",49
2020-10-01,"East Malaysia",118
2020-10-01,"West Malaysia",142
2020-10-02,"East Malaysia",114
2020-10-02,"West Malaysia",173
2020-10-03,"East Malaysia",158
2020-10-03,"West Malaysia",159
2020-10-04,"East Malaysia",132
2020-10-04,"West Malaysia",161
2020-10-05,"East Malaysia",135
2020-10-05,"West Malaysia",297
2020-10-06,"East Malaysia",223
2020-10-06,"West Malaysia",468
2020-10-07,"East Malaysia",285
2020-10-07,"West Malaysia",204
2020-10-08,"East Malaysia",289
2020-10-08,"West Malaysia",86
2020-10-09,"East Malaysia",285
2020-10-09,"West Malaysia",69
2020-10-10,"East Malaysia",288
2020-10-10,"West Malaysia",86
2020-10-11,"East Malaysia",493
2020-10-11,"West Malaysia",68
2020-10-12,"East Malaysia",294
2020-10-12,"West Malaysia",269
2020-10-13,"East Malaysia",462
2020-10-13,"West Malaysia",198
2020-10-14,"East Malaysia",440
2020-10-14,"West Malaysia",220
2020-10-15,"East Malaysia",314
2020-10-15,"West Malaysia",275
2020-10-16,"East Malaysia",508
2020-10-16,"West Malaysia",121
2020-10-17,"East Malaysia",455
2020-10-17,"West Malaysia",414
2020-10-18,"East Malaysia",716
2020-10-18,"West Malaysia",155
2020-10-19,"East Malaysia",677
2020-10-19,"West Malaysia",188
2020-10-20,"East Malaysia",680
2020-10-20,"West Malaysia",182
2020-10-21,"East Malaysia",544
2020-10-21,"West Malaysia",188
2020-10-22,"East Malaysia",608
2020-10-22,"West Malaysia",239
2020-10-23,"East Malaysia",549
2020-10-23,"West Malaysia",161
2020-10-24,"East Malaysia",918
2020-10-24,"West Malaysia",310
2020-10-25,"East Malaysia",575
2020-10-25,"West Malaysia",248
2020-10-26,"East Malaysia",940
2020-10-26,"West Malaysia",300
2020-10-27,"East Malaysia",502
2020-10-27,"West Malaysia",333
2020-10-28,"East Malaysia",602
2020-10-28,"West Malaysia",199
2020-10-29,"East Malaysia",379
2020-10-29,"West Malaysia",270
2020-10-30,"East Malaysia",547
2020-10-30,"West Malaysia",252
2020-10-31,"East Malaysia",550
2020-10-31,"West Malaysia",109
2020-11-01,"East Malaysia",673
2020-11-01,"West Malaysia",284
2020-11-02,"East Malaysia",622
2020-11-02,"West Malaysia",212
2020-11-03,"East Malaysia",780
2020-11-03,"West Malaysia",274
2020-11-04,"East Malaysia",683
2020-11-04,"West Malaysia",349
2020-11-05,"East Malaysia",665
2020-11-05,"West Malaysia",344
2020-11-06,"East Malaysia",1276
2020-11-06,"West Malaysia",479
2020-11-07,"East Malaysia",745
2020-11-07,"West Malaysia",423
2020-11-08,"East Malaysia",550
2020-11-08,"West Malaysia",302
2020-11-09,"East Malaysia",437
2020-11-09,"West Malaysia",535
2020-11-10,"East Malaysia",411
2020-11-10,"West Malaysia",458
2020-11-11,"East Malaysia",319
2020-11-11,"West Malaysia",503
2020-11-12,"East Malaysia",362
2020-11-12,"West Malaysia",557
2020-11-13,"East Malaysia",573
2020-11-13,"West Malaysia",731
2020-11-14,"East Malaysia",403
2020-11-14,"West Malaysia",711
2020-11-15,"East Malaysia",415
2020-11-15,"West Malaysia",793
2020-11-16,"East Malaysia",297
2020-11-16,"West Malaysia",806
2020-11-17,"East Malaysia",501
2020-11-17,"West Malaysia",709
2020-11-18,"East Malaysia",403
2020-11-18,"West Malaysia",257
2020-11-19,"East Malaysia",683
2020-11-19,"West Malaysia",607
2020-11-20,"East Malaysia",515
2020-11-20,"West Malaysia",443
2020-11-21,"East Malaysia",358
2020-11-21,"West Malaysia",683
2020-11-22,"East Malaysia",324
2020-11-22,"West Malaysia",772
2020-11-23,"East Malaysia",289
2020-11-23,"West Malaysia",1595
2020-11-24,"East Malaysia",234
2020-11-24,"West Malaysia",1954
2020-11-25,"East Malaysia",332
2020-11-25,"West Malaysia",638
2020-11-26,"East Malaysia",343
2020-11-26,"West Malaysia",592
2020-11-27,"East Malaysia",441
2020-11-27,"West Malaysia",668
2020-11-28,"East Malaysia",476
2020-11-28,"West Malaysia",839
2020-11-29,"East Malaysia",325
2020-11-29,"West Malaysia",984
2020-11-30,"East Malaysia",358
2020-11-30,"West Malaysia",854
2020-12-01,"East Malaysia",268
2020-12-01,"West Malaysia",1204
2020-12-02,"East Malaysia",229
2020-12-02,"West Malaysia",622
2020-12-03,"East Malaysia",320
2020-12-03,"West Malaysia",755
2020-12-04,"East Malaysia",324
2020-12-04,"West Malaysia",817
2020-12-05,"East Malaysia",402
2020-12-05,"West Malaysia",721
2020-12-06,"East Malaysia",271
2020-12-06,"West Malaysia",1064
2020-12-07,"East Malaysia",255
2020-12-07,"West Malaysia",1345
2020-12-08,"East Malaysia",273
2020-12-08,"West Malaysia",739
2020-12-09,"East Malaysia",204
