"regionname,""date"",""cases"""
New Mexico,2020-01-19,1
Nevada,2020-01-19,4
New York,2020-01-19,11
Ohio,2020-01-19,4
Oklahoma,2020-01-19,11
Pennsylvania,2020-01-19,1
PR,2020-01-19,1
South Carolina,2020-01-19,1
Tennessee,2020-01-19,1
Texas,2020-01-19,11
Utah,2020-01-19,3
Washington,2020-01-19,1
Alabama,2020-01-20,4
Arkansas,2020-01-20,1
Arizona,2020-01-20,3
California,2020-01-20,7
Colorado,2020-01-20,4
Florida,2020-01-20,10
Georgia,2020-01-20,9
Iowa,2020-01-20,1
Kentucky,2020-01-20,1
Louisiana,2020-01-20,1
Massachusetts,2020-01-20,5
Maine,2020-01-20,1
Michigan,2020-01-20,5
Missouri,2020-01-20,1
North Carolina,2020-01-20,1
New Jersey,2020-01-20,8
Nevada,2020-01-20,1
New York,2020-01-20,7
Ohio,2020-01-20,8
Oklahoma,2020-01-20,12
South Carolina,2020-01-20,1
Tennessee,2020-01-20,1
Texas,2020-01-20,9
Utah,2020-01-20,1
Washington,2020-01-20,1
Wisconsin,2020-01-20,2
Arizona,2020-01-21,3
California,2020-01-21,7
Colorado,2020-01-21,2
Florida,2020-01-21,1
Georgia,2020-01-21,7
Iowa,2020-01-21,2
Kentucky,2020-01-21,3
Louisiana,2020-01-21,1
Massachusetts,2020-01-21,4
Maryland,2020-01-21,1
Michigan,2020-01-21,3
Missouri,2020-01-21,3
New Jersey,2020-01-21,15
New Mexico,2020-01-21,1
Nevada,2020-01-21,3
New York,2020-01-21,9
Ohio,2020-01-21,4
Oklahoma,2020-01-21,7
PR,2020-01-21,2
South Carolina,2020-01-21,3
South Dakota,2020-01-21,1
Tennessee,2020-01-21,4
Texas,2020-01-21,11
Washington,2020-01-21,1
Alabama,2020-01-22,1
Arkansas,2020-01-22,1
California,2020-01-22,7
Colorado,2020-01-22,1
Florida,2020-01-22,3
Georgia,2020-01-22,1
Hawaii,2020-01-22,1
Iowa,2020-01-22,1
Illinois,2020-01-22,1
Indiana,2020-01-22,1
Kentucky,2020-01-22,4
Massachusetts,2020-01-22,2
Maine,2020-01-22,1
Michigan,2020-01-22,2
North Carolina,2020-01-22,1
New Jersey,2020-01-22,20
Nevada,2020-01-22,3
New York,2020-01-22,6
Ohio,2020-01-22,4
Oklahoma,2020-01-22,2
South Carolina,2020-01-22,1
South Dakota,2020-01-22,1
Tennessee,2020-01-22,2
Texas,2020-01-22,8
Utah,2020-01-22,1
Virginia,2020-01-22,1
Washington,2020-01-22,1
Wisconsin,2020-01-22,1
Alabama,2020-01-23,2
Arkansas,2020-01-23,1
Arizona,2020-01-23,4
California,2020-01-23,8
